1,2,3,4,5
169,163,154,175,180
175,164,158,181,186
180,166,161,187,192
186,167,164,194,198
191,169,167,200,204
197,170,170,206,209
203,171,174,212,215
208,173,177,218,221
214,174,180,225,227
219,176,183,231,233
225,177,186,237,239
230,178,190,243,245
236,180,193,250,251
242,181,196,256,257
247,183,199,262,262
250,184,201,264,266
252,185,203,265,270
254,187,205,267,274
257,188,207,268,278
259,189,208,270,282
262,190,210,271,287
264,192,212,273,291
267,193,214,275,295
269,194,216,276,299
271,196,218,278,303
274,197,220,279,307
276,198,222,281,311
279,200,223,282,315
281,201,225,284,319
283,202,227,286,323
