,,job_id,user,num_gpu,num_cpu,num_pod,duration,job_name,submit_time,group,gpu_type,wait_time,user_dur,group_dur,group_gpu_dur,read_count,write_count,num_inst,size,on_time,wasted,jct,resource,node,exec_time,bw,final_node_allocation,final_gpu_allocation,deadline
0,0,0,d4d51aca8806,0.0,0.6666666666666666,1.0,109,1ccc18d7d13073b642b3a016,1,31d2ec35b56db324b92e91aa92b277d2,SERVER,3,386.0,6793.5,34.0,0.0,0.0,1,72,0,0,1,"[0.0, 0.6666666666666666]",,1,0.0,"[8, 8, 8, 8]","['RASPBERRY', 'RASPBERRY', 'RASPBERRY', 'RASPBERRY']",113.19917384059507
1,2,2,a8192d6b0ae9,0.3333333333333333,2.0,1.0,34,30185446faeb493c1d55cacd,2,3dddb72f28904e332349ce0499b6bd27,SERVER,18,693.0,67.0,66.0,6364.689130434783,3191.8546409499722,1,79,0,0,2,"[0.3333333333333333, 2.0]",,2,3191.8546409499722,[8],['RASPBERRY'],42.28258061363052
2,3,3,c7152ce0fec1,0.3333333333333333,6.0,1.0,63,ed9f09d1fba6b6293dce0af3,3,34bd58c7a5046ddba9e5e638ce7b6a43,SERVER,4,263.0,55.0,55.0,6652.039251650769,3521.9682539682535,1,399,0,0,3,"[0.3333333333333333, 6.0]",,3,3521.9682539682535,"[2, 4]","['RASPBERRY', 'SERVER']",86.55108506593761
3,4,4,7b76597f4283,0.3333333333333333,2.0,1.0,101,40df54e413d319037102e297,4,7530c72dbd814108120eb257f3c7d82b,SERVER,8,1140.0,82.0,82.0,2715.948717948718,2329.693755347013,1,235,0,0,4,"[0.3333333333333333, 2.0]",,4,2329.693755347013,"[2, 8]","['RASPBERRY', 'RASPBERRY']",130.38151432695582
4,5,5,7b76597f4283,0.3333333333333333,2.0,1.0,62,40df54e413d319037102e297,5,5f008c6a785a02d7705b0b3eb1a312b4,SERVER,16,1140.0,82.0,82.0,2715.948717948718,2329.693755347013,1,144,0,0,5,"[0.3333333333333333, 2.0]",,5,2329.693755347013,"[2, 14, 8, 8, 8]","['RASPBERRY', 'RASPBERRY', 'RASPBERRY', 'RASPBERRY', 'RASPBERRY']",100.21990612310893
5,6,6,9cc55781f4a6,0.08333333333333333,2.0,1.0,115,07a7440f33d2bfb59804064b,6,6a09dd100d57d791b1dd6b65ec542465,SERVER,3,1205.5,28462.0,28462.0,2916.910652920962,2250.415735359857,1,239,0,0,6,"[0.08333333333333333, 2.0]",,6,2250.415735359857,"[14, 14, 14, 14, 14]","['RASPBERRY', 'RASPBERRY', 'RASPBERRY', 'RASPBERRY', 'RASPBERRY']",166.44329817974636
6,7,7,3d5e1fb89ab2,0.0,2.6666666666666665,1.0,65,97d91ddd2cc12db098a29658,7,5c905b68b218ad22a050a767ef2cc8cf,SERVER,3,1229.0,1229.0,1229.0,0.0,0.0,1,173,0,0,7,"[0.0, 2.6666666666666665]",,7,0.0,"[14, 5, 14]","['RASPBERRY', 'RASPBERRY', 'RASPBERRY']",116.90527908378799
7,8,8,d4d51aca8806,0.0,0.6666666666666666,1.0,18,1ccc18d7d13073b642b3a016,8,ddd3d92c398d97b879b98556c9d7b407,SERVER,2,386.0,7100.5,34.0,0.0,0.0,1,12,0,0,8,"[0.0, 0.6666666666666666]",,8,0.0,"[5, 14]","['RASPBERRY', 'RASPBERRY']",84.360447567483
8,10,10,a8192d6b0ae9,0.3333333333333333,2.0,1.0,117,30185446faeb493c1d55cacd,9,264a78980985fd92fc4cb4b3c47a5e78,SERVER,17,693.0,46.0,45.0,6364.689130434783,3191.8546409499722,1,273,0,0,9,"[0.3333333333333333, 2.0]",,9,3191.8546409499722,"[5, 5, 11, 5, 8]","['RASPBERRY', 'RASPBERRY', 'RASPBERRY', 'RASPBERRY', 'RASPBERRY']",198.23099451883576
9,11,11,552e00661526,0.3333333333333333,2.0,1.0,91,add3316a7d069d4b2bcf870d,10,3c68f7a5ed3a46896aa33e94c86b5f26,SERVER,3,24.0,24.0,24.0,9797.142857142857,1538.888888888889,1,212,0,0,10,"[0.3333333333333333, 2.0]",,10,1538.888888888889,"[5, 11, 8, 11]","['RASPBERRY', 'RASPBERRY', 'RASPBERRY', 'RASPBERRY']",196.37297684756896
10,12,12,b13fd7656207,0.3333333333333333,2.6666666666666665,1.0,116,693694aff93ce4f9a8bbdfd6,11,5808cce0909bb129a19e2b9a74f07c77,SERVER,3,17161.5,54.0,54.0,634.8616600790514,193.90680473372785,1,348,0,0,11,"[0.3333333333333333, 2.6666666666666665]",,11,193.90680473372785,"[8, 4, 11, 2]","['RASPBERRY', 'SERVER', 'RASPBERRY', 'RASPBERRY']",216.70475224850858
11,13,13,3d5e1fb89ab2,0.0,2.6666666666666665,1.0,13,97d91ddd2cc12db098a29658,12,69f79548fa9182b69183883ee44c67a0,SERVER,3,1229.0,1229.0,1229.0,0.0,0.0,1,34,0,0,12,"[0.0, 2.6666666666666665]",,12,0.0,"[4, 4, 5]","['SERVER', 'SERVER', 'RASPBERRY']",122.94878127273816
12,14,14,3d5e1fb89ab2,0.0,2.6666666666666665,1.0,116,97d91ddd2cc12db098a29658,13,7d8fa0d4980ac2f56d21352b160c6bce,SERVER,3,1229.0,1229.0,1229.0,0.0,0.0,1,309,0,0,13,"[0.0, 2.6666666666666665]",,13,0.0,[4],['SERVER'],235.86549638460735
13,15,15,3d5e1fb89ab2,0.0,2.6666666666666665,1.0,43,97d91ddd2cc12db098a29658,14,52ee0a95526cc8f73d6ee2c8af1d7f9f,SERVER,3,1229.0,1229.0,1229.0,0.0,0.0,1,114,0,0,14,"[0.0, 2.6666666666666665]",,14,0.0,"[5, 4]","['RASPBERRY', 'SERVER']",283.0302136764467
14,16,16,5b1345f03aa1,0.3333333333333333,2.0,1.0,13,4338499d3c24cc35be17b44c,15,0fc29e5d462a09c90028c1d92546623e,SERVER,14,436.0,23.0,23.0,3987.3481058112393,2143.128573005187,1,30,0,0,15,"[0.3333333333333333, 2.0]",,15,2143.128573005187,"[4, 4, 4]","['SERVER', 'SERVER', 'SERVER']",270.459928728375
15,17,17,5b1345f03aa1,0.08333333333333333,2.0,1.0,41,4338499d3c24cc35be17b44c,16,5e3274e814debe5216b0e3af0b752e4a,SERVER,12,436.0,80.5,80.5,3987.3481058112393,2143.128573005187,1,85,0,0,16,"[0.08333333333333333, 2.0]",,16,2143.128573005187,"[4, 4, 4, 2, 4]","['SERVER', 'SERVER', 'SERVER', 'RASPBERRY', 'SERVER']",302.5046365911196
16,18,18,3d5e1fb89ab2,0.0,2.6666666666666665,1.0,117,97d91ddd2cc12db098a29658,17,55f18ded08513282ea40224cb2124a3d,SERVER,314,1229.0,1229.0,1229.0,0.0,0.0,1,312,0,0,17,"[0.0, 2.6666666666666665]",,17,0.0,"[4, 4]","['SERVER', 'SERVER']",415.39238966933857
17,19,19,f134c9ec05e3,0.16666666666666666,2.0,1.0,71,3e5fb00bf43aa67ee5c2b6d5,18,d57a3896094509dfe0c35d5a80f77d54,SERVER,15,435.0,170.0,166.0,2872.061334769974,4314.033431085044,1,153,0,0,18,"[0.16666666666666666, 2.0]",,18,4314.033431085044,[4],['SERVER'],372.3867694135243
18,20,20,0fe7087caa8a,0.3333333333333333,2.0,1.0,111,af01655aa7d855a2892283ec,19,e137e0d6376cb57955baf530f02f1c9a,SERVER,108,73.5,73.5,73.0,4854.4384615384615,1439.6794871794873,1,259,0,0,19,"[0.3333333333333333, 2.0]",,19,1439.6794871794873,"[4, 4]","['SERVER', 'SERVER']",424.7870253390928
19,21,21,45bd92802aa9,0.6666666666666666,2.0,1.0,8,21858ac282f1092bb15f8831,20,0700535713b88efd371f64fce8e5aeb4,SERVER,3,287.0,15.0,15.0,2467.0040935672514,3956.5,1,21,0,0,20,"[0.6666666666666666, 2.0]",,20,3956.5,"[4, 14]","['SERVER', 'RASPBERRY']",320.6440222616104
20,22,22,de69ddc1064e,0.08333333333333333,2.0,1.0,71,8ccb9c9fe88b53537e096dd9,21,2c4ec377dade9ce8c19a680444c99eb7,SERVER,7,7180.0,44272.0,45418.5,1975.2819939932187,1470.2898442789435,1,147,0,0,21,"[0.08333333333333333, 2.0]",,21,1470.2898442789435,"[4, 7]","['SERVER', 'SERVER']",391.5035608105339
21,23,23,de69ddc1064e,0.16666666666666666,2.0,1.0,12,8ccb9c9fe88b53537e096dd9,22,775d1bbcaa1f3ed95a99c6acbeab770b,SERVER,11,7180.0,47587.5,47612.0,1975.2819939932187,1470.2898442789435,1,26,0,0,22,"[0.16666666666666666, 2.0]",,22,1470.2898442789435,"[4, 4, 7]","['SERVER', 'SERVER', 'SERVER']",332.86364562368476
22,24,24,4d95fa282778,0.3333333333333333,2.0,1.0,52,37423403daa3e62e294e12da,23,5580b8b40d3628d204cbecab4f759e25,SERVER,3,1522.0,15.0,15.0,7268.433333333332,6029.76,1,121,0,0,23,"[0.3333333333333333, 2.0]",,23,6029.76,"[4, 7, 7, 4]","['SERVER', 'SERVER', 'SERVER', 'SERVER']",404.6933178029149
